Member Id,Fuel Amount,Merch Amount,Fuel Gallons,Merch Units,Fuel Visit,Merch Visit,Fuel & Merch Visit,Cigarette Amount,Cigarette Units,Cigarette Visits,Earned Points,Burned Points,Expired Points,Age,Income,Ethincity,Gender
D13E338B-4C73-427F-B29D-5D3C6FDB0564,5046.79,29.02,2089.539,20,348,1,14,505,168.23,84,3100,3000,0,34,40596,White,Preffered Not to Say
97677196-CC71-40E1-929E-5FBDA3F35D73,675.5,277.34,341.569,85,15,14,24,68,22.52,11,1529,1275,0,19,38532,White,Female
289588F8-4A55-434F-A230-27D17BF281C0,1748.26,3279.36,784.362,870,35,123,107,175,58.28,29,2452,2200,0,58,11952,Hispanic,Male
FBC22657-3016-437D-AB52-02E372A7286C,218,3.37,85.321,3,21,0,2,22,7.27,4,241,200,0,27,14988,Hispanic,Preffered Not to Say
E60AAE91-0C0C-40B4-975F-9440071EC26F,346.6,13.34,147.069,7,11,2,1,35,11.55,6,345,300,0,21,33732,Asian,Male
35FF13D4-5CD0-4740-9F55-6D6488FE653F,1560.97,857.61,685.612,203,89,71,1,156,52.03,26,1887,1700,0,26,39036,Hispanic,Male
055B58CD-F9E1-4496-AB26-60DA139F2BC7,2482.2,27.86,1097.156,8,95,3,4,248,82.74,41,1493,1400,0,64,46704,White,Preffered Not to Say
D0A2B84C-9233-4B0E-B285-F20AC353A3C3,976.26,395.28,397.718,73,32,10,0,98,32.54,16,583,500,-83,31,44904,Black,Female
C119A3EB-2AEA-493B-BDD6-749951BBA940,1318.04,33.05,559.447,15,62,2,6,132,43.93,22,1192,0,0,55,20472,Asian,Male
F1B79B07-DA4E-409B-B532-A91D0C2206BE,285.82,0,123.11,0,14,0,0,29,9.53,5,264,200,0,45,16824,Asian,Male
C5E002D3-0B8F-4F0D-8976-DAF2348A5108,92.45,211.67,39.029,42,7,14,1,9,3.08,2,535,300,0,64,27732,Others,Preffered Not to Say
71CAA18D-5E3A-4E04-BD11-20241486A7F3,223.01,0,91.358,0,14,0,0,22,7.43,4,390,200,-90,61,47184,White,Preffered Not to Say
0E182BC5-73FF-45D1-86B9-C4BC8B2C4ABD,100.8,0,44.412,0,5,0,0,10,3.36,2,251,0,-216,34,29472,White,Preffered Not to Say
A4B4BD17-4356-47D8-8CC7-EBAC71B02860,18.77,102.91,7.76,25,1,7,3,2,0.63,0,196,0,-196,17,35748,Others,Preffered Not to Say
C5BAD169-23E1-4AF0-AD7F-8B077A371FD9,2123.52,21,949.09,4,85,1,1,212,70.78,35,2414,1800,0,24,50688,Black,Female
2866E3E7-D402-4036-8E9A-569B3CB5D87C,1218.38,25.1,539.352,15,48,1,7,122,40.61,20,1230,1075,0,56,10716,Hispanic,Preffered Not to Say
